Product_Name,Product_Code,Product_Category,Unit_Price,Cost,Description
ﾊｳｽｶｵﾝｷ HK2030TCV,049825000,ﾊｳｽｶｵﾝｷ,909000,470450,型式:HK2030TCV 単位:台 歩単:1.25
ﾊｳｽｶｵﾝｷ HK2030TEV,049826000,ﾊｳｽｶｵﾝｷ,925000,481600,型式:HK2030TEV 単位:台 歩単:1.25
ﾊｳｽｶｵﾝｷ HK2030TRV,051779000,ﾊｳｽｶｵﾝｷ,1166000,595420,型式:HK2030TRV 単位:台 歩単:1.25
ﾊｳｽｶｵﾝｷ HK3030TCV,049827000,ﾊｳｽｶｵﾝｷ,1129000,490810,型式:HK3030TCV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK3030TEV,049828000,ﾊｳｽｶｵﾝｷ,1141000,509220,型式:HK3030TEV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK3030TFV,049829000,ﾊｳｽｶｵﾝｷ,1092000,503120,型式:HK3030TFV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK3030TRV,051780000,ﾊｳｽｶｵﾝｷ,1396000,610850,型式:HK3030TRV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK4030TCV,049830000,ﾊｳｽｶｵﾝｷ,1424000,593740,型式:HK4030TCV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4030TEV,049831000,ﾊｳｽｶｵﾝｷ,1478000,620960,型式:HK4030TEV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4030TFV,049832000,ﾊｳｽｶｵﾝｷ,1386000,603330,型式:HK4030TFV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4030FRV,051505000,ﾊｳｽｶｵﾝｷ,1746000,752030,型式:HK4030FRV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4030GRV,051781000,ﾊｳｽｶｵﾝｷ,1746000,720010,型式:HK4030GRV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4030TYV,051782000,ﾊｳｽｶｵﾝｷ,1722000,762530,型式:HK4030TYV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK5030TCV,049833000,ﾊｳｽｶｵﾝｷ,1620000,701210,型式:HK5030TCV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK5030TEV,049834000,ﾊｳｽｶｵﾝｷ,1680000,752540,型式:HK5030TEV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK5030TFV,049835000,ﾊｳｽｶｵﾝｷ,1572000,668670,型式:HK5030TFV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK6030TCV,049836000,ﾊｳｽｶｵﾝｷ,1814000,722990,型式:HK6030TCV 単位:台 歩単:2.2
ﾊｳｽｶｵﾝｷ HK6030TEV,049837000,ﾊｳｽｶｵﾝｷ,1882000,792990,型式:HK6030TEV 単位:台 歩単:2.2
ﾊｳｽｶｵﾝｷ HK6030TFV,049838000,ﾊｳｽｶｵﾝｷ,1763000,685520,型式:HK6030TFV 単位:台 歩単:2.2
ﾊｳｽｶｵﾝｷ HK8030GCV,050747000,ﾊｳｽｶｵﾝｷ,2623000,1068730,型式:HK8030GCV 単位:台 歩単:2.8
ﾊｳｽｶｵﾝｷ HK8030GFV,050748000,ﾊｳｽｶｵﾝｷ,2572000,1024260,型式:HK8030GFV 単位:台 歩単:2.8
ﾊｳｽｶｵﾝｷ HK8030FCV,050745000,ﾊｳｽｶｵﾝｷ,2623000,1153380,型式:HK8030FCV 単位:台 歩単:2.8
ﾊｳｽｶｵﾝｷ HK8030FFV,050746000,ﾊｳｽｶｵﾝｷ,2572000,1089470,型式:HK8030FFV 単位:台 歩単:2.8
ﾊｳｽｶｵﾝｷ HK2029TCV,052771000,ﾊｳｽｶｵﾝｷ,797000,383340,型式:HK2029TCV 単位:台 歩単:1.25
ﾊｳｽｶｵﾝｷ HK2029TEV,052772000,ﾊｳｽｶｵﾝｷ,821000,393450,型式:HK2029TEV 単位:台 歩単:1.25
ﾊｳｽｶｵﾝｷ HK3029TCV,052773000,ﾊｳｽｶｵﾝｷ,982000,403820,型式:HK3029TCV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK3029TEV,052774000,ﾊｳｽｶｵﾝｷ,990000,420930,型式:HK3029TEV 単位:台 歩単:1.45
ﾊｳｽｶｵﾝｷ HK4029TCV,052775000,ﾊｳｽｶｵﾝｷ,1221000,482640,型式:HK4029TCV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK4029TEV,052776000,ﾊｳｽｶｵﾝｷ,1283000,508050,型式:HK4029TEV 単位:台 歩単:1.7
ﾊｳｽｶｵﾝｷ HK5029TCV,052777000,ﾊｳｽｶｵﾝｷ,1430000,589070,型式:HK5029TCV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK5029TEV,052778000,ﾊｳｽｶｵﾝｷ,1500000,641450,型式:HK5029TEV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK5029TFV,052779000,ﾊｳｽｶｵﾝｷ,1360000,557180,型式:HK5029TFV 単位:台 歩単:2
ﾊｳｽｶｵﾝｷ HK6029TCV,052780000,ﾊｳｽｶｵﾝｷ,1590000,612410,型式:HK6029TCV 単位:台 歩単:2.2
ﾊｳｽｶｵﾝｷ HK6029TEV,052781000,ﾊｳｽｶｵﾝｷ,1635000,679300,型式:HK6029TEV 単位:台 歩単:2.2
ﾊｳｽｶｵﾝｷ HK6029TFV,052782000,ﾊｳｽｶｵﾝｷ,1550000,574680,型式:HK6029TFV 単位:台 歩単:2.2
小型温風機 KA-125,051111000,小型温風機,331000,139730,型式:KA-125 単位:台 歩単:0.52
小型温風機 KA-205,051113000,小型温風機,400000,143600,型式:KA-205 単位:台 歩単:0.7
小型温風機 KA-325,051115000,小型温風機,492000,165270,型式:KA-325 単位:台 歩単:0.9
小型温風機 KA-325T,051117000,小型温風機,542000,176620,型式:KA-325T 単位:台 歩単:0.9
小型温風機 KA-405T,051119000,小型温風機,665000,251450,型式:KA-405T 単位:台 歩単:1
小型温風機 KA-125E,051112000,小型温風機,389000,170820,型式:KA-125E 単位:台 歩単:0.52
小型温風機 KA-205E,051114000,小型温風機,450000,176880,型式:KA-205E 単位:台 歩単:0.7
小型温風機 KA-325E,051116000,小型温風機,545000,215850,型式:KA-325E 単位:台 歩単:0.9
小型温風機 KA-325TE,051118000,小型温風機,596000,228490,型式:KA-325TE 単位:台 歩単:0.9
小型温風機 KA-405TE,051120000,小型温風機,692000,259200,型式:KA-405TE 単位:台 歩単:1
小型温風機（LPガス焚き） KA-325EL,042809000,小型温風機（LPガス焚き）,935000,373890,型式:KA-325EL 単位:台 歩単:0.9
小型温風機（13Aガス焚き） KA-325EN,042793000,小型温風機（13Aガス焚き）,935000,373630,型式:KA-325EN 単位:台 歩単:0.9
小型温風機（LPガス焚き） KA-325TEL,042812000,小型温風機（LPガス焚き）,948000,386790,型式:KA-325TEL 単位:台 歩単:0.9
小型温風機（13Aガス焚き） KA-325TEN,042810000,小型温風機（13Aガス焚き）,948000,386790,型式:KA-325TEN 単位:台 歩単:0.9
ｸﾞﾛｳｴｱ（灯油焚き） CG-254S1,051160000,ｸﾞﾛｳｴｱ（灯油焚き）,322000,159980,型式:CG-254S1 単位:台 歩単:0.5
ｸﾞﾛｳｴｱ（灯油焚き） CG-254S2,051161000,ｸﾞﾛｳｴｱ（灯油焚き）,344000,168500,型式:CG-254S2 単位:台 歩単:0.5
ｸﾞﾛｳｴｱ（灯油焚き） CG-554T2,051162000,ｸﾞﾛｳｴｱ（灯油焚き）,413000,177140,型式:CG-554T2 単位:台 歩単:0.7
ｸﾞﾛｳｴｱ（灯油焚き） CG-854T2,051163000,ｸﾞﾛｳｴｱ（灯油焚き）,537000,240490,型式:CG-854T2 単位:台 歩単:0.9
ｸﾞﾛｳｴｱ（LPガス焚き） CG-205SL,031617000,ｸﾞﾛｳｴｱ（LPガス焚き）,247000,117150,型式:CG-205SL 単位:台 歩単:
CG-205用架台セット BCK-1100,041665000,CG-205用架台セット,48600,19220,型式:BCK-1100 単位:ｾｯﾄ 歩単:
ｸﾞﾛｳｴｱ（LPガス焚き） CG-254S1G,051167000,ｸﾞﾛｳｴｱ（LPガス焚き）,501000,279060,型式:CG-254S1G 単位:台 歩単:0.5
ｸﾞﾛｳｴｱ（LPガス焚き） CG-254S2G,051168000,ｸﾞﾛｳｴｱ（LPガス焚き）,518000,288220,型式:CG-254S2G 単位:台 歩単:0.5
ｸﾞﾛｳｴｱ（LPガス焚き） CG-554TG2,051169000,ｸﾞﾛｳｴｱ（LPガス焚き）,684000,291190,型式:CG-554TG2 単位:台 歩単:0.7
ｼｮｳｵﾝﾎﾞｲﾗ SHB-310S1K,038886000,ｼｮｳｵﾝﾎﾞｲﾗ,512000,232620,型式:SHB-310S1K 単位:台 歩単:1
ｼｮｳｵﾝﾎﾞｲﾗ SHB-310TK,038884000,ｼｮｳｵﾝﾎﾞｲﾗ,515000,232880,型式:SHB-310TK 単位:台 歩単:1
ｼｮｳｵﾝﾎﾞｲﾗ SHB-310TK4,038885000,ｼｮｳｵﾝﾎﾞｲﾗ,573000,235070,型式:SHB-310TK4 単位:台 歩単:1
ﾊｳｽﾎﾞｲﾗ HB-407TGA,025357000,ﾊｳｽﾎﾞｲﾗ,944000,458400,型式:HB-407TGA 単位:台 歩単:1.15
ﾊｳｽﾎﾞｲﾗ HB-807TGA5,025124000,ﾊｳｽﾎﾞｲﾗ,1511000,619670,型式:HB-807TGA5 単位:台 歩単:1.6
ﾊｳｽﾎﾞｲﾗ HB-807TGA6,025125000,ﾊｳｽﾎﾞｲﾗ,1511000,617090,型式:HB-807TGA6 単位:台 歩単:1.6
ﾊｳｽﾎﾞｲﾗ HB-1007TA,025415000,ﾊｳｽﾎﾞｲﾗ,2145000,761850,型式:HB-1007TA 単位:台 歩単:1.7
ﾊｳｽﾎﾞｲﾗ HB-2007TA,025417000,ﾊｳｽﾎﾞｲﾗ,2735000,975890,型式:HB-2007TA 単位:台 歩単:2.75
ﾊｳｽﾎﾞｲﾗ HB-3007TA,025418000,ﾊｳｽﾎﾞｲﾗ,3278000,1208630,型式:HB-3007TA 単位:台 歩単:3.4
ﾊｳｽﾎﾞｲﾗ HB-4007TA,025421000,ﾊｳｽﾎﾞｲﾗ,3581000,1317910,型式:HB-4007TA 単位:台 歩単:4
ｼﾝｸﾛﾋｰﾀ SBM100WNU_10,052478000,ｼﾝｸﾛﾋｰﾀ,2579000,703660,型式:SBM100WNU_10 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM100WMU_10,052479000,ｼﾝｸﾛﾋｰﾀ,2579000,702500,型式:SBM100WMU_10 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM100WLU_10,052480000,ｼﾝｸﾛﾋｰﾀ,2579000,702760,型式:SBM100WLU_10 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM100WNUJ_2（水道直結仕様）,052481000,ｼﾝｸﾛﾋｰﾀ,2730000,728300,型式:SBM100WNUJ_2（水道直結仕様） 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM100WMUJ_2（水道直結仕様）,052482000,ｼﾝｸﾛﾋｰﾀ,2730000,728170,型式:SBM100WMUJ_2（水道直結仕様） 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM100WLUJ_2（水道直結仕様）,052483000,ｼﾝｸﾛﾋｰﾀ,2730000,732690,型式:SBM100WLUJ_2（水道直結仕様） 単位:台 歩単:2.3
ｼﾝｸﾛﾋｰﾀ SBM150WNT_8,052489000,ｼﾝｸﾛﾋｰﾀ,3494000,933310,型式:SBM150WNT_8 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150WMT_8,052490000,ｼﾝｸﾛﾋｰﾀ,3494000,931760,型式:SBM150WMT_8 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150WLT_8,052491000,ｼﾝｸﾛﾋｰﾀ,3494000,933310,型式:SBM150WLT_8 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150WNTJ_2（水道直結仕様）,046046000,ｼﾝｸﾛﾋｰﾀ,3736000,985820,型式:SBM150WNTJ_2（水道直結仕様） 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150WMTJ_3（水道直結仕様）,052492000,ｼﾝｸﾛﾋｰﾀ,3736000,994720,型式:SBM150WMTJ_3（水道直結仕様） 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150WLTJ_3（水道直結仕様）,052493000,ｼﾝｸﾛﾋｰﾀ,3736000,994590,型式:SBM150WLTJ_3（水道直結仕様） 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150HNT_4 13A 高温出湯,046049000,ｼﾝｸﾛﾋｰﾀ,3875000,939890,型式:SBM150HNT_4 13A 高温出湯 単位:台 歩単:3
ｼﾝｸﾛﾋｰﾀ SBM150HNT_5 13A 高温出湯,052495000,ｼﾝｸﾛﾋｰﾀ,3875000,950730,型式:SBM150HNT_5 13A 高温出湯 単位:台 歩単:3
